% Model:              2021-03-17_EField_In_Planar_Cavity_BTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 19 2021, 11:47
% Dimension:          1
% Nodes:              213
% Expressions:        52
% Description:        Line graph
% cln3x,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height
0.21990740634127937,0,86913.95050213214,173827.90100426428,260741.8515063971,347655.80200852855,434569.75251066056,521483.7030127942,608397.6535149271,695311.6040170571,782225.5545191927,869139.5050213211,956053.4555234569,1042967.4060255884,1129881.3565277145,1216795.3070298543,1303709.2575319898,1390623.2080341142,1477537.1585362584,1564451.1090383853,1651365.0595405146,1738279.0100426422,1825192.9605447825,1912106.9110469138,1999020.8615490398,2085934.8120511768,2172848.762553319,2259762.713055429,2346676.6635575653,2433590.6140597085,2520504.564561826,2607418.5150639797,2694332.465566111,2781246.4160682284,2868160.366570366,2955074.317072517,3041988.267574637,3128902.2180767707,3215816.1685789116,3302730.119081029,3389644.0695831454,3476558.0200852845,3563471.970587437,3650385.921089565,3737299.8715916984,3824213.8220938276,3911127.7725959606,3998041.7230980797,4084955.6736001857,4171869.6241023536,4258783.574604471,4345697.525106638,4432611.4756087605
0.2412086550643289,0,86974.22791838368,173948.45583676736,260922.68375515105,347896.9116735347,434871.13959191745,521845.3675103021,608819.595428688,695793.8233470694,782768.0512654543,869742.2791838349,956716.5071022238,1043690.7350206042,1130664.9629389816,1217639.190857376,1304613.4187757643,1391587.6466941389,1478561.8746125344,1565536.1025309085,1652510.3304492896,1739484.5583676698,1826458.786286063,1913433.0142044476,2000407.2421228206,2087381.4700412084,2174355.6979596005,2261329.925877963,2348304.153796356,2435278.381714752,2522252.6096331202,2609226.8375515286,2696201.065469906,2783175.2933882778,2870149.5213066633,2957123.749225069,3044097.977143445,3131072.205061817,3218046.432980208,3305020.6608985793,3391994.8888169457,3478969.1167353396,3565943.3446537447,3652917.572572126,3739891.8004905153,3826866.0284088952,3913840.2563272747,4000814.484245641,4087788.712164008,4174762.940082417,4261737.168000785,4348711.395919201,4435685.623837576
0.2453690521776674,0,86986.00084267708,173972.00168535416,260958.00252803203,347944.0033707083,434930.00421338464,521916.00505606405,608902.0058987421,695888.0067414166,782874.0075840957,869860.0084267693,956846.0092694513,1043832.0101121281,1130818.0109547966,1217804.0117974842,1304790.0126401642,1391776.0134828333,1478762.0143255207,1565748.0151681914,1652734.0160108684,1739720.0168535386,1826706.0176962216,1913692.0185389025,2000678.01938157,2087664.0202242562,2174650.0210669423,2261636.021909593,2348622.0227522803,2435608.0235949685,2522594.0244376315,2609580.0252803285,2696566.0261230012,2783552.0269656666,2870538.0278083463,2957524.0286510414,3044510.029493719,3131496.030336383,3218482.031179071,3305468.0320217367,3392454.032864394,3479440.033707077,3566426.0345497793,3653412.035392443,3740398.036235137,3827384.037077805,3914370.0379204773,4001356.03876314,4088342.0396057987,4175328.0404485124,4262314.0412911745,4349300.0421338845,4436286.042976541
0.2526777453305568,0,87006.68268838253,174013.36537676505,261020.04806514797,348026.7307535301,435033.4134419129,522040.09613029595,609046.7788186818,696053.4615070602,783060.1441954459,870066.8268838258,957073.5095722127,1044080.1922605919,1131086.8749489714,1218093.5576373637,1305100.240325745,1392106.9230141204,1479113.605702515,1566120.2883908919,1653126.9710792769,1740133.6537676516,1827140.3364560425,1914147.0191444254,2001153.7018327978,2088160.3845211838,2175167.0672095786,2262173.749897943,2349180.432586331,2436187.1152747273,2523193.79796309,2610200.48065149,2697207.163339872,2784213.846028241,2871220.5287166266,2958227.21140503,3045233.894093404,3132240.5767817837,3219247.2594701806,3306253.9421585537,3393260.6248469125,3480267.3075353033,3567273.990223709,3654280.672912085,3741287.3556004674,3828294.038288851,3915300.720977226,4002307.4036655957,4089314.086353953,4176320.7690423676,4263327.451730742,4350334.134419157,4437340.817107536
0.25829986118032394,0,87022.59192552161,174045.18385104323,261067.77577656528,348090.36770208646,435112.9596276077,522135.55155313056,609158.1434786535,696180.7354041729,783203.3273296957,870225.9192552154,957248.511180741,1044271.1031062611,1131293.6950317752,1218316.286957307,1305338.878882832,1392361.4708083458,1479384.0627338805,1566406.6546593914,1653429.246584912,1740451.838510431,1827474.4304359588,1914497.022361482,2001519.6142869943,2088542.2062125222,2175564.7981380513,2262587.3900635503,2349609.9819890833,2436632.573914614,2523655.165840119,2610677.757765664,2697700.3496911833,2784722.9416166916,2871745.5335422074,2958768.125467761,3045790.717393269,3132813.3093187828,3219835.901244318,3306858.493169824,3393881.0850953325,3480903.677020862,3567926.2689464022,3654948.8608719176,3741971.452797447,3828994.044722964,3916016.6366484826,4003039.2285739887,4090061.8204994802,4177084.4124250445,4264107.004350553,4351129.596276103,4438152.188201608
0.32203983582661155,0,87202.96074021162,174405.92148042325,261608.88222063583,348811.8429608465,436014.80370105803,523217.76444127166,610420.7251814847,697623.685921693,784826.6466619081,872029.6074021161,959232.5681423353,1046435.5288825433,1133638.4896227482,1220841.4503629694,1308044.411103187,1395247.371843386,1482450.3325836132,1569653.2933238163,1656856.2540640335,1744059.2148042321,1831262.1755444547,1918465.1362846706,2005668.0970248738,2092871.0577650866,2180074.0185053074,2267276.9792454964,2354479.9399857186,2441682.900725939,2528885.861466136,2616088.822206374,2703291.782946576,2790494.743686772,2877697.70442699,2964900.6651672265,3052103.625907434,3139306.5866476325,3226509.547387846,3313712.508128067,3400915.4688682454,3488118.4296084642,3575321.390348698,3662524.3510889094,3749727.3118291176,3836930.272569341,3924133.2333095362,4011336.1940497477,4098539.154789926,4185742.1155301733,4272945.076270372,4360148.037010615,4447350.997750808
0.32669198171915803,0,87216.12519540766,174432.25039081532,261648.3755862243,348864.50078163063,436080.6259770376,523296.7511724486,610512.8763678548,697729.0015632613,784945.1267586711,872161.2519540752,959377.3771494874,1046593.5023448972,1133809.627540292,1221025.7527357095,1308241.8779311192,1395458.0031265225,1482674.128321942,1569890.2535173423,1657106.37871275,1744322.5039081504,1831538.6291035602,1918754.7542989748,2005970.8794943686,2093187.0046897945,2180403.1298852055,2267619.255080584,2354835.380276004,2442051.505471419,2529267.630666815,2616483.7558622384,2703699.8810576433,2790916.006253045,2878132.13144845,2965348.256643884,3052564.3818392805,3139780.5070346845,3226996.632230091,3314212.7574255,3401428.882620881,3488645.0078163007,3575861.133011732,3663077.2582071205,3750293.3834025455,3837509.5085979495,3924725.63379336,4011941.758988737,4099157.884184126,4186374.009379589,4273590.134574973,4360806.259770411,4448022.384965802
0.3380681733668764,0,87248.31708463491,174496.63416926982,261744.9512539061,348993.26833853964,436241.5854231751,523489.9025078122,610738.219592449,697986.5366770793,785234.8537617173,872483.1708463501,959731.4879309927,1046979.8050156244,1134228.1221002524,1221476.439184898,1308724.7562695348,1395973.0733541586,1483221.3904388093,1570469.7075234347,1657718.0246080721,1744966.3416927003,1832214.6587773392,1919462.9758619855,2006711.292946599,2093959.6100312488,2181207.92711589,2268456.244200505,2355704.5612851405,2442952.878369796,2530201.1954544084,2617449.5125390696,2704697.8296237024,2791946.146708317,2879194.463792962,2966442.7808776186,3053691.097962247,3140939.4150468693,3228187.732131515,3315436.0492161443,3402684.3663007626,3489932.6833854006,3577181.00047005,3664429.3175546783,3751677.63463932,3838925.951723971,3926174.2688085795,4013422.585893198,4100670.9029778186,4187919.2200624975,4275167.537147114,4362415.85423178,4449664.171316403
0.3688238114424195,0,87335.34815133206,174670.69630266412,262006.0444539974,349341.39260532823,436676.7407566613,524012.0889079948,611347.4370593291,698682.7852106565,786018.1333619932,873353.4815133226,960688.82966466,1048024.1778159896,1135359.5259673148,1222694.8741186582,1310030.2222699923,1397365.570421313,1484700.9185726657,1572036.2667239865,1659371.6148753213,1746706.9630266451,1834042.3111779809,1921377.65932932,2008713.0074806442,2096048.3556319792,2183383.7037833175,2270719.0519346297,2358054.4000859726,2445389.7482373165,2532725.0963886282,2620060.4445399847,2707395.792691318,2794731.140842626,2882066.4889939753,2969401.8371453313,3056737.185296652,3144072.533447973,3231407.881599318,3318743.2297506426,3406078.5779019394,3493413.9260532903,3580749.2742046444,3668084.6223559617,3755419.97050729,3842755.31865864,3930090.666809973,4017426.0149612883,4104761.3631125945,4192096.7112639584,4279432.059415287,4366767.407566635,4454102.755717956
0.4078069702426002,0,88071.64379451895,176143.2875890379,264214.9313835566,352286.5751780758,440358.2189725966,528429.8627671133,616501.5065616368,704573.1503561516,792644.7941506678,880716.4379451931,968788.0817397131,1056859.7255342265,1144931.3693287538,1233003.0131232736,1321074.656917786,1409146.3007123033,1497217.9445068426,1585289.5883013357,1673361.2320958518,1761432.8758903863,1849504.5196849213,1937576.1634794262,2025647.8072739348,2113719.451068453,2201791.0948629784,2289862.7386575076,2377934.382452018,2466006.0262465472,2554077.670041036,2642149.313835572,2730220.957630085,2818292.6014246065,2906364.245219106,2994435.8890136853,3082507.5328081734,3170579.1766026714,3258650.8203972448,3346722.4641917036,3434794.1079862514,3522865.7517807726,3610937.3955753203,3699009.0393698425,3787080.683164323,3875152.3269588524,3963223.970753359,4051295.6145478697,4139367.2583423844,4227438.902136906,4315510.545931424,4403582.189725957,4491653.833520475
0.4123538652384045,0,88090.70564298038,176181.41128596076,264272.1169289407,352362.8225719215,440453.52821490396,528544.2338578814,616634.9395008665,704725.645143843,792816.3507868191,880907.0564298079,968997.7620727876,1057088.4677157628,1145179.17335875,1233269.879001733,1321360.5846447072,1409451.290287686,1497541.9959306873,1585632.7015736382,1673723.4072166171,1761814.1128596158,1849904.8185026103,1937995.5241455752,2026086.2297885478,2114176.9354315256,2202267.641074511,2290358.3467175,2378449.0523604746,2466539.758003466,2554630.4636464175,2642721.1692894143,2730811.8749323827,2818902.580575372,2906993.2862183293,2995083.9918613746,3083174.6975043262,3171265.4031472765,3259356.1087903143,3347446.8144332343,3435537.520076248,3523628.2257192316,3611718.9313622373,3699809.6370052206,3787900.3426481634,3875991.0482911505,3964081.753934123,4052172.4595770957,4140263.165220068,4228353.870863051,4316444.576506032,4404535.282149022,4492625.987792002
0.4214163309808082,0,88128.6980199376,176257.3960398752,264386.09405981237,352514.7920797504,440643.49009969,528772.1881196247,616900.8861395679,705029.5841595008,793158.282179435,881286.98019938,969415.6782193168,1057544.3762392495,1145673.0742591948,1233801.7722791359,1321930.4702990667,1410059.1683190016,1498187.8663389569,1586316.56435887,1674445.2623788055,1762573.96039876,1850702.6584187134,1938831.3564386335,2026960.0544585634,2115088.752478499,2203217.45049844,2291346.1485183896,2379474.8465383197,2467603.5445582718,2555732.2425781763,2643860.9405981335,2731989.6386180585,2820118.336638003,2908247.034657918,2996375.7326779137,3084504.4306978276,3172633.12871774,3260761.8267377326,3348890.524757611,3437019.2227775794,3525147.92079752,3613276.6188174854,3701405.3168374267,3789534.014857325,3877662.712877267,3965791.410897192,4053920.108917127,4142048.8069370617,4230177.504956998,4318306.202976934,4406434.90099688,4494563.599016827
0.49698120124721923,0,88445.48697313151,176890.97394626302,265336.46091939433,353781.94789252605,442227.434865659,530672.9218387887,619118.4088119243,707563.8957850521,796009.3827581789,884454.869731318,972900.3567044494,1061345.8436775773,1149791.330650715,1238236.8176238486,1326682.304596971,1415127.7915701042,1503573.278543256,1592018.7655163577,1680464.2524894916,1768909.739462636,1857355.2264357815,1945800.7134088988,2034246.2003820213,2122691.6873551547,2211137.17432829,2299582.66130143,2388028.148274552,2476473.635247697,2564919.122220798,2653364.609193942,2741810.096167075,2830255.5831402084,2918701.070113316,3007146.557086512,3095592.0440596147,3184037.5310327155,3272483.0180059047,3360928.504978983,3449373.9919521324,3537819.478925272,3626264.965898429,3714710.452871563,3803155.9398446605,3891601.4268177976,3980046.9137909277,4068492.4007640425,4156937.8877371647,4245383.374710309,4333828.86168344,4422274.34865658,4510719.835629714
